"catalogNumber","WingSide","ImageName","percent_asymmetry","Cell","Location","decimalLatitude","decimalLongitude","Site_name","Site_code","Land_cover","Notes.","Total.Complete.Agr","Total.Complete.Dev","Total.Complete.For","area","circularity","length","width","percent_overlap"
"UCSB-IZC00065438","L","UCSB-IZC00065438_L_1.svg",1.27359875160711,1,"Oconee Co. GA",33.84608,-83.401753,"Colham Ferry",81,"Agricultural","",10,12,6,0.00663445640317699,0.553118347475408,0.176141246315298,0.0575765502881769,84.2956051368859
"UCSB-IZC00065438","R","UCSB-IZC00065438_R_1.svg",1.27359875160711,1,"Oconee Co. GA",33.84608,-83.401753,"Colham Ferry",81,"Agricultural","",NA,NA,NA,0.0067194942777583,0.556915822047308,0.175863585721828,0.0533714540422889,84.2956051368859
"UCSB-IZC00065438","L","UCSB-IZC00065438_L_4.svg",5.11697413355362,4,"Oconee Co. GA",33.84608,-83.401753,"Colham Ferry",81,"Agricultural","wing cell slightly off background sheet",NA,NA,NA,0.00787213059501082,0.65145093250406,0.147827405997676,0.0806229392433944,80.0494180087373
"UCSB-IZC00065438","R","UCSB-IZC00065438_R_4.svg",5.11697413355362,4,"Oconee Co. GA",33.84608,-83.401753,"Colham Ferry",81,"Agricultural","",NA,NA,NA,0.00747936457649107,0.60694130143126,0.155281738273059,0.0693587024822904,80.0494180087373
"UCSB-IZC00055362","L","",NA,1,"Oconee Co. GA",33.906534,-83.511588,"Harperfield",81,"Agricultural","not taken",NA,NA,NA,NA,NA,NA,NA,NA
"UCSB-IZC00055362","R","UCSB-IZC00055362_R_1.svg",NA,1,"Oconee Co. GA",33.906534,-83.511588,"Harperfield",81,"Agricultural","",NA,NA,NA,NA,NA,NA,NA,76.3585247935504
"UCSB-IZC00055362","L","",NA,4,"Oconee Co. GA",33.906534,-83.511588,"Harperfield",81,"Agricultural","not taken",NA,NA,NA,NA,NA,NA,NA,NA
"UCSB-IZC00055362","R","UCSB-IZC00055362_R_4.svg",NA,4,"Oconee Co. GA",33.906534,-83.511588,"Harperfield",81,"Agricultural","",NA,NA,NA,NA,NA,NA,NA,74.1049472110986
"UCSB-IZC00058724","L","UCSB-IZC00058724_L_1.svg",7.9983466400554,1,"Oconee Co. GA",33.906534,-83.511588,"Harperfield",81,"Agricultural","",NA,NA,NA,0.00645840781294535,0.537534570324173,0.177922238662636,0.0519450912882677,90.4738035527995
"UCSB-IZC00058724","R","UCSB-IZC00058724_R_1.svg",7.9983466400554,1,"Oconee Co. GA",33.906534,-83.511588,"Harperfield",81,"Agricultural","",NA,NA,NA,0.00596170593751966,0.491806764421953,0.180032031159341,0.0471550604562044,90.4738035527995
